idx,cloze,expected
2080,17.0,tulips
2976,25.4,tank
2551,28.6,triceratops
2539,32.1,pterodactyl
2956,32.2,crane
2902,32.8,moon
3164,34.5,chandelier
2119,36.4,leg
2353,41.8,crab
2368,42.1,alligator
2535,43.1,panda
2062,43.6,rats
2963,44.9,submarine
2138,45.8,heart
2109,46.4,arm
2560,46.9,unicorn
2485,47.2,hamburgers
2092,47.3,pines
2157,47.4,poodle
2948,49.0,bulldozer
2295,49.1,cup
2813,49.1,goggles
3099,49.2,tee-shirt
2167,50.9,donkey
2680,51.0,tepee
2440,53.4,ferry
2201,54.2,beer
2458,55.9,plane
2346,56.4,shrimp
2875,56.9,mountain
2703,59.6,temple
2191,60.7,champagne
2762,60.8,scale
3068,60.8,book
2147,62.5,dalmatian
2321,62.7,knife
2475,63.0,swiss cheese
2428,63.6,gondola
2398,64.9,dolphin
2448,66.0,helicopter
3114,67.2,brush
2015,67.8,oranges
2851,67.8,Italy
3123,68.0,scalpel
2337,70.7,goldfish
2305,71.2,bowl
2469,71.7,cottage cheese
2224,72.7,cake
2495,72.7,steak
2751,74.6,convertible
2921,74.6,box
3139,75.5,stapler
2582,75.9,Superman
2617,76.3,boots
2516,76.4,tiger
3158,76.5,flashlight
2645,76.9,saw
2413,77.6,koala
2270,78.0,necklace
2636,78.0,shorts
3049,78.0,doll
2022,78.2,tomatoes
2363,78.2,snake
2604,78.4,sandals
2738,78.4,van
2781,78.4,telescope
2913,78.4,jar
2070,78.6,roses
3131,78.8,needle
2278,80.0,mascara
2858,80.4,Texas
2867,81.4,Florida
2884,81.4,volcano
2009,81.8,apples
2041,81.8,spiders
3105,82.0,razor
2249,83.0,toast
2790,83.0,microscope
2210,83.3,coffee
3058,84.0,magazine
2526,84.3,polar bear
2893,84.3,star
2506,84.9,lion
2035,85.7,bees
2054,85.7,rabbits
2128,85.7,lungs
2820,86.0,wheelchair
2841,86.3,China
2830,86.4,cane
2627,86.5,jeans
2100,86.8,palms
2261,87.3,earring
2241,87.5,bagel
2595,87.7,Snoopy
2711,88.2,church
2574,88.9,Batman
2331,89.1,shark
3041,90.0,rattle
2731,90.4,train
2378,90.6,duck
2287,90.9,lipstick
2940,90.9,button
2232,91.5,cookies
2656,91.5,hammer
2674,91.5,rake
2691,91.5,igloo
2773,91.5,thermometer
3028,91.5,bat
2802,92.0,helmet
2393,92.3,whale
2030,93.2,carrots
2992,93.2,monopoly
2929,94.0,zipper
2984,94.0,chess
2588,94.1,Garfield
2722,94.1,bus
2566,94.7,leprechaun
3150,94.8,scissors
2178,94.9,zebra
3084,94.9,pen
3093,96.0,sweater
3171,96.0,blender
3181,96.1,toaster
2387,96.6,turkey
3019,98.0,racket
2406,98.1,kangaroo
2313,98.2,spoon
3010,98.3,baseball
2217,100.0,milk
2665,100.0,shovel
3003,100.0,football
3074,100.0,pencil
